Country,League,Season,Date,Time,Home,Away,HG,AG,Res,Number
USA,MLS,2019,2/3/2019,18:00,Philadelphia Union,Toronto FC,1,3,A,1
USA,MLS,2019,2/3/2019,19:30,Orlando City,New York City,2,2,D,2
USA,MLS,2019,2/3/2019,21:30,Columbus Crew,New York Red Bulls,1,1,D,3
USA,MLS,2019,2/3/2019,21:30,FC Dallas,New England Revolution,1,1,D,4
USA,MLS,2019,2/3/2019,23:00,Colorado Rapids,Portland Timbers,3,3,D,5
USA,MLS,2019,2/3/2019,23:00,Houston Dynamo,Real Salt Lake,1,1,D,6
USA,MLS,2019,2/3/2019,23:00,Vancouver Whitecaps,Minnesota United,2,3,A,7
USA,MLS,2019,3/3/2019,1:00,Los Angeles Galaxy,Chicago Fire,2,1,H,8
USA,MLS,2019,3/3/2019,3:00,San Jose Earthquakes,Montreal Impact,1,2,A,9
USA,MLS,2019,3/3/2019,3:00,Seattle Sounders,FC Cincinnati,4,1,H,10
USA,MLS,2019,3/3/2019,23:00,DC United,Atlanta United,2,0,H,11
USA,MLS,2019,4/3/2019,1:30,Los Angeles FC,Sporting Kansas City,2,1,H,12
USA,MLS,2019,9/3/2019,18:00,Chicago Fire,Orlando City,1,1,D,13
USA,MLS,2019,9/3/2019,19:00,New England Revolution,Columbus Crew,0,2,A,14
USA,MLS,2019,9/3/2019,20:30,FC Dallas,Los Angeles Galaxy,2,0,H,15
USA,MLS,2019,9/3/2019,22:00,Houston Dynamo,Montreal Impact,2,1,H,16
USA,MLS,2019,9/3/2019,23:00,Real Salt Lake,Vancouver Whitecaps,1,0,H,17
USA,MLS,2019,10/3/2019,1:00,San Jose Earthquakes,Minnesota United,0,3,A,18
USA,MLS,2019,10/3/2019,3:00,Seattle Sounders,Colorado Rapids,2,0,H,19
USA,MLS,2019,10/3/2019,19:00,New York City,DC United,0,0,D,20
USA,MLS,2019,10/3/2019,19:00,Sporting Kansas City,Philadelphia Union,2,0,H,21
USA,MLS,2019,10/3/2019,21:00,Atlanta United,FC Cincinnati,1,1,D,22
USA,MLS,2019,10/3/2019,23:30,Los Angeles FC,Portland Timbers,4,1,H,23
USA,MLS,2019,16/03/2019,17:00,Chicago Fire,Seattle Sounders,2,4,A,24
USA,MLS,2019,16/03/2019,18:00,Columbus Crew,FC Dallas,1,0,H,25
USA,MLS,2019,16/03/2019,19:00,Houston Dynamo,Vancouver Whitecaps,3,2,H,26
USA,MLS,2019,16/03/2019,19:30,New York Red Bulls,San Jose Earthquakes,4,1,H,27
USA,MLS,2019,16/03/2019,20:00,Orlando City,Montreal Impact,1,3,A,28
USA,MLS,2019,17/03/2019,0:00,DC United,Real Salt Lake,5,0,H,29
USA,MLS,2019,17/03/2019,2:30,Los Angeles Galaxy,Minnesota United,3,2,H,30
USA,MLS,2019,17/03/2019,19:00,New York City,Los Angeles FC,2,2,D,31
USA,MLS,2019,17/03/2019,21:00,FC Cincinnati,Portland Timbers,3,0,H,32
USA,MLS,2019,17/03/2019,23:00,Atlanta United,Philadelphia Union,1,1,D,33
USA,MLS,2019,17/03/2019,23:30,Toronto FC,New England Revolution,3,2,H,34
USA,MLS,2019,18/03/2019,1:00,Colorado Rapids,Sporting Kansas City,1,1,D,35
USA,MLS,2019,23/03/2019,21:45,FC Dallas,Colorado Rapids,2,1,H,36
USA,MLS,2019,23/03/2019,23:30,New York Red Bulls,Orlando City,0,1,A,37
USA,MLS,2019,23/03/2019,23:30,Philadelphia Union,Columbus Crew,3,0,H,38
USA,MLS,2019,24/03/2019,2:30,Los Angeles FC,Real Salt Lake,2,1,H,39
USA,MLS,2019,24/03/2019,20:00,New England Revolution,FC Cincinnati,0,2,A,40
USA,MLS,2019,30/03/2019,0:00,Toronto FC,New York City,4,0,H,41
USA,MLS,2019,30/03/2019,17:00,Chicago Fire,New York Red Bulls,1,0,H,42
USA,MLS,2019,30/03/2019,18:00,New England Revolution,Minnesota United,2,1,H,43
USA,MLS,2019,30/03/2019,19:00,Sporting Kansas City,Montreal Impact,7,1,H,44
USA,MLS,2019,30/03/2019,19:30,San Jose Earthquakes,Los Angeles FC,0,5,A,45
USA,MLS,2019,30/03/2019,23:30,FC Cincinnati,Philadelphia Union,0,2,A,46
USA,MLS,2019,30/03/2019,23:30,Columbus Crew,Atlanta United,2,0,H,47
USA,MLS,2019,31/03/2019,2:00,Colorado Rapids,Houston Dynamo,1,4,A,48
USA,MLS,2019,31/03/2019,2:00,Real Salt Lake,FC Dallas,2,4,A,49
USA,MLS,2019,31/03/2019,3:00,Vancouver Whitecaps,Seattle Sounders,0,0,D,50
USA,MLS,2019,31/03/2019,23:30,Orlando City,DC United,1,2,A,51
USA,MLS,2019,1/4/2019,2:00,Los Angeles Galaxy,Portland Timbers,2,1,H,52
USA,MLS,2019,6/4/2019,3:00,Vancouver Whitecaps,Los Angeles Galaxy,0,2,A,53
USA,MLS,2019,6/4/2019,18:00,New York City,Montreal Impact,0,0,D,54
USA,MLS,2019,6/4/2019,20:00,DC United,Los Angeles FC,0,4,A,55
USA,MLS,2019,6/4/2019,20:00,Toronto FC,Chicago Fire,2,2,D,56
USA,MLS,2019,7/4/2019,0:00,New York Red Bulls,Minnesota United,1,2,A,57
USA,MLS,2019,7/4/2019,0:30,Columbus Crew,New England Revolution,1,0,H,58
USA,MLS,2019,7/4/2019,0:30,Orlando City,Colorado Rapids,4,3,H,59
USA,MLS,2019,7/4/2019,0:30,Philadelphia Union,FC Dallas,2,1,H,60
USA,MLS,2019,7/4/2019,1:00,San Jose Earthquakes,Portland Timbers,3,0,H,61
USA,MLS,2019,7/4/2019,3:00,Seattle Sounders,Real Salt Lake,1,0,H,62
USA,MLS,2019,7/4/2019,20:00,FC Cincinnati,Sporting Kansas City,1,1,D,63
USA,MLS,2019,10/4/2019,1:00,DC United,Montreal Impact,0,0,D,64
USA,MLS,2019,13/04/2019,1:30,Chicago Fire,Vancouver Whitecaps,1,1,D,65
USA,MLS,2019,13/04/2019,18:00,Montreal Impact,Columbus Crew,1,0,H,66
USA,MLS,2019,13/04/2019,20:00,Houston Dynamo,San Jose Earthquakes,2,1,H,67
